German,Occidental
Posse,buffa
Büffel,buffle
"Narr, Clown",buffon
Puffer (beim Eisenbahnwagen),buffre
"Kugel, Kanonenkugel",bul
Schneeball,bul de nive
Knolle,bulbe
"Boulevard, Ringstraße",bulevard
Bulgarien,Bulgaria
"Kraftbrühe, Bouillon",bullion
Blumenstrauß,buquette
(jäher) Windstoß,burasca
Hummel,burdon
Knospe,burgeon
"knospen, sprießen",burgeonar
"Scherz, Schabernack",burla
"scherzen, Schabernack treiben",burlar
burlesk,burlesc
Büro,buró
Auskunftsbüro,buró de information
Aktienbörse,bursa
Börsianer,bursero
Buchs(baum),busso
Kompass,bossol
"Laden, Geschäft",butíca
Ladenbesitzer,buticario
Knopf,buton
"Nippel, Brustwarze",buton de mamme
knöpfen,butonar
Knopfloch,butoniere
Butter,buttre
Molke,buttre-serum
Büchse,bux
Weißrussland,Byelorussia
ob,ca
Hütte,cabane
Kabinett,cabinette
Kabel,cable
Küstenschifffahrt,cabotage
Küstenschiffer,cabotero
sich aufbäumen,cabrar se
Kakao,cacáo
gackern,cacarear
Kakadu,cacatú
Kaschmir (Wolle),cachemir
Kaktus,cacté
"Leichnam, Kadaver",cadavre
fallen,cader
Heft,caderne
"Kadett, Anwärter",cadette
Fallen,cadida
Kadmium,cadmium
Rahmen,cadre
"hinfällig, baufällig",caduc
Baufälligkeit,caducitá
Kaffee,café
Café,cafeería
Käfig,cage
Hornisse,calabron
Halm,cálame
"Unglück, Plage, Schicksalsschlag",calamitá
durchpausen,calcar
Kalk,calce
"verkalkt, kalkhaltig",calcic
Kalk-,calcin
Rechnung,calcul
Abrechnung,calcul final
"rechnen, berechnen",calcular
"Rechnung, Berechnung",calculation
Rechnung,calculator
Dampfkessel,caldiere
Kessel,caldron
Kalesche,caleche
kalfatern,calefacter
"Wortspiel, Kalauer",calembur
Kalender,calendare
"wärmen, warm machen, heizen",calentar
Heizung,calentation
Zentralheizung,calentation central
"warm sein, heiß sein",caler
mir ist warm,yo cale
Kaliber,calibre
Kelch,cálice
Kalif,calif
Kalifat,califatu
Kalifornien,California
kalifornisch,californian
Kalligraphie,caligrafie
Kalzium,calcium
"warm, heiß",calid
Schwiele,calle
ruhig,calm
ruhig,calmant
"ruhig sein, still sein",calmar
Ruhe,calme
"Wärme, Hitze",calore
Kalorie,calorie
Unterhose,calson
Badehose,calson de balne
verleumden,calumniar
Verleumdung,calumnie
verleumdnerisch,calumniosi
kahl,calvi
Kahlheit,calvitá
Kahlkopf,calvon
Kameradin,camarada
Kameradschaft,camaraderíe
Kamerad,camarado
wechseln,cambiar
Wechsel,cambie
Wechsel (bei Wertpapieren),cambio
Kambodscha,Cambodja
kambodschanisch,cambodjes
Kamel,camel
Chamäleon,cameleon
"1. Kamera, 2. Zimmer, Kammer",cámera
Kammerherr,camerlingo
Kamerun,Camerun
kamerunisch,camerunes
Kamin,camine
"Lastwagen, LKW",camion
Hemd,camise
"Hemdchen, Unterhemd",camisette
"Feld, Lager",camp
"Gottesacker, Friedhof",camp de mortes
"Land, ländlicher Raum, Gefilde",campania
Feldzug,campanie
Wahlkampf,campanie electoral
"kampieren, zelten",campar
Camping,camping
Campingbus,camping-bus
Campingwagen,camping-mobil
Tarnung,camuflage
tarnen,camuflar
Hanf,canábe
Kanada,Canada
kanadisch,canades
Kanal,canale
kanalisieren,canalisar
"Kanailie, Pack,",canallia
"Sofa, Couch",canapé
Kanarische Inseln,Canaries
Kanzlei,cancellaria
Kanzlerin,cancellera
Kanzler,cancellero
Krebs (Krankheit),cáncer
Kerze,candel
Kronleuchter,candelabre
Kerzenleuchter,candeliero
"aufrichtig, freimütig",candid
Kandidat,candidate
kandieren,candir
"Freimütigkeit, Aufrichtigkeit",candore
Hund,cane
Segeltuch,canevas
Kannibale,canibale
Kaninchen,canicul
Taschenmesser,canif
Hund-,canin
Rohr,canne
"Rinne, Auskerbung",cannel
Zimt,cannelle
"Kanonenbeschuss, Kanonade",cannonada
kanonieren,cannonar
Kanone,cannone
Kanonier,cannonero
Kanu,canó
Kanon,canon
kanonisieren,canonisar
singen,cantar
Gesang,cantation
Sänger,cantator
"Lied, Gesang",cante
Kantine,cantine
Kanton,canton
kantonisieren,cantonar
"Skiff, Renneiner (Ruderboot)",canú
kleiner Köter,canuch
"Schlucht, Canyon",canyon
Lied,canzon
Chaos,cáos
chaotisch,caotic
Kopf,cap
Kap der guten Hoffnung,Cap del Bon Esperantie
fähig,capabil
Fähigkeit,capablitá
"Rauminhalt, Kapazität",capacitá
Kopfschmerz,cap-dolore
Kapelle,capella
"Kapellmeister, Dirigent",capellmastro
Haarschopf,capillatura
Haar,capille
Zopf,capill-tresse
"kapieren, erfassen",capir
"1. Hauptstadt, 2. Kapital",capitale
Kapitalist,capitalist
"Kapitän, Hauptmann",capitano
Kapitel,capitul
kapitulieren,capitular
Kapitulation,capitulation
Kapaun,capon
Korporal,caporale
kappen,cappar
Kappe,cappe
Ziege,capre
Reh,capreol
Steinbock,capricorn
"Laune, launischer Einfall",capricie
"launisch, kapriziös",capriciosi
Ziegenbock,capro
Kapsel,capsul
"fangen, fassen, ergreifen",capter
"Festnahme, Gefangennahme",caption
gefangen,captiv
Gefangenschaft,captivitá
Fang,captura
Kapuze,capuce
"lieb, nett",car
"Liebling, Schatz (weiblich)",cara
Charakter,caractere
charakterisieren,caracterisar
charakteristisch,caracteristic
Charaktereigenschaft,caracteristicum
"Karaffe, geschliffene Flasche",caraffe
Karamell,caramelle
Wohnwagen,caravan
Karawane,caravane
Karawane,caravanserái
Karat,carat
Kohle,carbon
Kohlegrube,carboniera
Kohlenstoff,carbonio
Brandgeschwür,carbuncul
Gerippe,carcasse
"Kerker, Gefängnis",cárcere
Gefängniswärter,carcerero
Distel,carde
hauptsächlich,cardinal
Kardinal,cardinale
Fastenzeit,carema
fasten,caremar
"Liebkosung, Zärtlichkeit",caresse
"liebkosen, streicheln",caressar
"Last, Bürde",carga
Last,cargage
"laden, beladen",cargar
karikieren,caricar
Karikatur,caricatura
Karikaturist,caricaturist
Kärnten,Carintia
kärntnerisch,carintian
Karies,carie
Karriere,cariera
entbehren,carir
"blutrot, karmesinrot",carmesin
"Massaker, Schlachtfest",carnage
Fleisch,carne
"Schmeißfliege, Fleischfliege",carne-mosca
Rindfleisch,carne bovin
Kalbsfleisch,carne vaccelin
Fleischer,carnero
Karneval,carnevale
Fleischfresser,carnivore
fleischfressend,carnivori
"Lieber, Geliebter",caro
Kutsche,carosse
"Möhre, Karotte",carotte
Karpaten,Carpates
Karpfen,carpe
zimmern,carpentar
Zimmermann,carpentero
"Karren, Wagen",carre
"Kachel, Fliese",carrel
Schubkarre,carruch(o)
Karussell,carrusell(e)
Karst,carst
Karte,carte
Kreditkarte,carte de credite
Landkarte,carte geografic
Postkarte,carte postal
Kartätsche,carteche
Kartell,cartelle
Knorpel,cartilágine
"Pappe, Karton",carton
Patrone,cartuche
Wasserfall,cascade
Helm,casco
Käse,caseo
Kaserne,caserne
Kasino,casino
Kaspisches Meer,Caspic Mare
Mütze,casquette
Kasse,cassa
Kochtopf,casserol
Kastanie,castanie
Kastanienbaum,castaniero
Kaste,caste
"Burg, Schloss",castelle
züchtigen,castigar
Züchtigung,castigation
Kastilien,Castilia
Biber,castor
kastrieren,castrar
Kastration,castration
Kastrierter,castrato
Notfall,casu de beson
Fall,casu
zufällig,casual
Katze,cat
Katakombe,cata-combe
Katalog,catalog
Katalonien,Catalonia
katalanisch,catalonian
"Katapult, Wurfgeschoss",catapult
großer Wasserfall,cataracte
Erkältung,catarre
Katastrophe,catastrof
katastrophal,catastrofal
"Dom, Kathedrale",catedrale
Lehrstuhl,catedre
kategorisch,categoric
Kategorie,categorie
Kater,cato
Lehrstuhl,catedre
Kette,caten
anketten,catenar
katholisch,catolic
Katholizismus,catolicisme
Katholik,catolico
Kaukasus,Caucás
Feigling,caudard
feige,caudardi
Schwanz,caude
mit dem Schwanz wedeln,caudear
Kohl,caul
Kohlrabi,caulrap
Blumenkohl,cauliflor
"wegen, um ... willen",caus
ursächlich,causal
verursachen,causar
"Grund, Ursache",cause
vorsichtig,caut
"Kautschuk, Gummi",cautchuc
Ritt,cavalcade
reiten,cavalcar
Ritter,cavaliero
Pferd,cavall
Gestüt,cavall-evelatoria
Stute,cavalla
Gaul,cavallach
Kavallerie,cavalleríe
Hengst,cavallo
Höhle,caverne
hohl,cavi
Kaviar,caviare
Kai,caye
CD/DVD,CD/DVD
Zwiebel,cebul
nachgiebig,cedaci
"abtreten, weichen, nachgeben",ceder
Zeder,cedre
Zettel,cedul
verbergen,celar
feiern,celebrar
berühmt,celebri
Berühmtheit,celebritá
himmlisch,celest
ledig,celib
"Zölibat, Ehelosigkeit",celibatu
Junggeselle,celibo
Keller,céllar
Zelle,cellul
"Zellulose, Zellstofff",cellulose
Zensur,censura
zensieren,censurar
"hundert eins, 101",cent un
"hundert, 100, Cent",cent
"hundertzehn, 110",cent deci
hundertster,centesim
Zentimeter,centimetre
zentral,central
Zentrale,centrale
zentralisieren,centralisar
Zentrum,centre
Gehirn,cerebre
Kleinhirn,cerebrelle
zeremoniell,ceremonial
Zeremonie,ceremonie
Kirsche,cerese
Kirschbaum,ceresiero
"sicher, gewiss",cert
"bescheinigen, zertifizieren",certificar
Zertifikat,cerficate
"Sicherheit, Gewissheit",certitá
Hirschkuh,cerva
Hirsch,cervo
aufhören,cessar
"Abtreten, Nachgeben",cession
übrig,céteri
übrigens,in céteri
Schablone,chablone
Schach,chac
Schachfigur,chac-figura
Schachmatt,chac-matt
Schachbrett,chac-tabul
Schakal,chacale
"sich grämen, bekümmert sein",chagrinar
"Kummer, Herzleid",chagrine
"Schal, Halstuch",chal
"Hütte, Chalet",chalete
Schaluppe,chalupe
Zimmer,chambre
Badezimmer,chambre balneari
Zweibettzimmer,chambre de du lettes
Einbettzimmer,chambre de un lette
Doppelzimmer,chambre duplic
Einzelzimmer,chambre individual
Zimmermädchen,chambrera
Champignon,champinion
Meister,champion
Meisterschaft,championatu
"Gemse, Gams",chamús(e)
"Chance, Glücksfall",chance
viel Glück!,bon chance!
chancenreich,chanceosi
"schwanken, wanken",chancelar
"Wechsel, Änderung",change
Umstieg,changeament
"wechseln, ändern, umtauschen, umsteigen",changear
Erpressung,chantage
erpressen,chantagear
"Kerl, Bursche. Junge",chap
Hut,chapel
Hutmacher,chapelero
Last (in abstraktem Sinn),charge
"Barmherzigkeit, Wohltätigkeit",charitá
karitativ,charitativ
Scharlatan,charlatan
charmant,charmant
bezaubern,charmar
"Charme, Reiz, Anmut, Zauber",charme
Scharnier,charnire
Charta,charta
"Jagdhund, Spürhund",chass-cane
Jagdhorn,chass-horn
"Schal, Schärpe",charpe
jeder,chascun
jagen,chassar
Jäger,chassator
Jagd,chasse
Jäger,chassero
Fahrgestell,chassí
keusch,chast
Keuschheit,chastitá
Chauvinismus,chauvinisme
chauvinistisch,chauvinistic
bei,che
Scheck,chec
Chef,chef
Küchenchef,chef de cocine
Scheich,cheik
Kiste,chest
"schick, elegant",chic
"schikanieren, belästigen",chicanar
"Schikane, Belästigung",chicane
"Lappen, Lumpen",chifon
"Schornstein, Kamin",chimené
"Hirngespinst, Trugbild",chimere
chemisch,chimic
Chemiker,chemico
Chemie,chimie
Schimpanse,chimpansé
China,China
"Chinesisch, chinesisch",chinesi
Zwitschern,chiripada
zwitschern,chiripar
chirurgisch,chirurgic
Chirurgie,chirurgie
Chirurg,chirurgo
"Schock, Stoß, Erschütterung",choc
"schockierend, erschütternd",chocant
"schockieren, schocken, erschüttern",chocar
Schokolade,chocolate
"chauffieren, jemanden wohin fahren",choferar
Chauffeur,chofero
Schoppen,chop
Landstraße,chossé
flüstern,chucotar
Flüstern,chucotament
hier,ci
Zikade,cicade
Narbe,cicatre
vernarben,cicatrisar
Johanniswürmchen,cicindele
Radsport,ciclisme
Wirbelsturm,ciclon
Zichorie,cicoré
Quitte,cidonio
Apfelwein,cidre
blind,ciec
Blindheit,ciecitá
Himmel,ciel
Himmels-,cielal
himmlisch,cielest
Ziffer,ciffre
Zigeunerin,cigana
Zigeuner,cigano
Zigarette,cigarette
Zigarre,cigarre
Schwan,cigne
Wimper,cilie
Zylinder,cilindre
zylindrisch,cilindric
Gipfel,cime
Wanze,címice
Zynober,cinabre
Asche,cindre
Aschenbecher,cindriere
aschefarben,cindricolor
Kino,cinemá
zynisch,cinic
Zynismus,cinicisme
Zyniker,cinico
Hagebutte,cinorodon
umgürten,cinter
Gürtel,cintura
Zion,cion
Zionismus,cionisme
Zypresse,cipresse
einwachsen,cirar
"ungefähr, circa",circa
Kreis,circle
Zirkus,circo
Kreislauf,circuit
Kreis,circul
zirkulieren,circular
"Zirkular, Rundschreiben",circulare
"um, herum",circum
"Umwelt, Umgebung",circumité
"umfassen, umzingeln",circumpresser
"umsichtig, vorsichtig",circumspectosi
Wachs,cire
diesseits,cis
Meißel,cisel
meißeln,ciselar
durchschneiden,ciser
Schnitt,cision
Schere,cisores
"Einschnitt, Schnitt, Zäsur",cisura
Zitter,cítare
zitieren,citar
Zitat,citation
Stadt,cité
Hauptstadt,cité capital
Bürger,citean
Zitrone,citron
Bürger,cive
bürgerlich,civic
zivil,civil
zivilisieren,civilisar
Zivilisation,civilisation
Bürgerschaft,civité
Knall,clacca
"klicken, klatschen",claccar
"Klatschen, Applaus",claccada
"klaffen, kläffen",claffar
"Rufen, Geschrei",clamada
"rufen, schreien",clamar
"Ruf, Schrei",clamore
Plätschern,clapotage
plätschern,clapotar
schnalzen,clappar
Klappe,clappe
"hell, klar",clar
Vollmond,clar-lumie
Hellsehen,clar-videntie
Lichtung,clariera
"erklären, klarmachen, abklären",clarificar
Klarinette,clarinette
"Klarheit, Helligkeit",claritá
Klassenzimmer,class-chambre
Klasse,classe
klassisch,classic
klassifizieren,classificar
hinkend,claudicant
hinken,claudicar
"Klausel, Bedingung",clausul
verklausulieren,clausular
Kloster,claustre
"Schlüssel, Taste, Abzug",clave
Schlüsselbein,clavicul
Tastatur,claviere
"gnädig, gütig, mild",clement
"Güte, Milde",clementie
klerikal,clerical
Kleriker,clerico
Klerus,clero
Clique,clicca
Klischee,cliché
Kunde,client
"Praxis, Kundschaft, Klientel",clientela
Klippe,cliff
Klima,clima
klimatisch,climatic
klettern,climbar
Kletterer,climbator
Klinke,clinc
Neigung,cline
Klinik,clinica
klinisch,clinical
"Einlauf, Klistier",clistere
"Abwasserkanal, Kloake",cloca
Keule,clobb
Uhrzeit,clocca
Glockenturm,cloch-turre
Glocke,cloche
läuten,clochear
Glockenturm,clochiere
Gewehrkolben,clopp
Chlorophyll,clorofill
"Klo, Toilette",closete
nageln,clovar
Nagel,clove
"Klub, Verein",club
Türriegel,clud-bolt
"schließen, zumachen",cluder
"zu, geschlossen",cludet
Verschluss,clusura
quaken,coacar
Gequake,coacada
"gerinnen, erstarren",coagular
"Gerinnung, Erstarrung",coagulation
Kobalt,cobalt
Meerschweinchen,cobaye
Kobold,cobold
Koka,coca
Coca Cola,coca-cola
Kokain,cocaine
Marienkäfer,coccinelle
Kutsche,coche
Kinderwagen,coche de bebé
Alptraum,cochemare
Kutscher,cochero
"kochen, zubereiten",cocinar
gekocht,cocinat
"Kochkunst, Cuisine",cocine
Köchin,cochinera
Koch,cochinero
Küche,cocinería
Löffel,coclare
Keuchhusten,cocluche
Kokosnuss,coco
Kokon,cocon
Kokospalme,cocopalme
Cockpit,cocpit
"Kode, Gesetzeswerk",code
Postleitzahl,code postal
kodifizieren,codificar
Koffer,coffre
zusammenleben,cohabitar
zusammenhängend,coherent
zusammenhängen,coherer
Zusammenhang,cohesion
"Gesinnungsgenosse, Gleichgesinnter",coidealist
"zusammenfallen, sich decken",coincider
"Zusammentreffen, Zufall",coincidentie
"bei schlafen, sexuell verkehren",coiter
"Beischlaf, Geschlechtsverkehr",coition
Hals,col
zusammenarbeiten,colaborar
Zusammenarbeit,colaboration
Mitarbeiter,colaborator
Kragen,colare
Imbiss,colation
sammeln,colecter
Sammlung,colection
kollektiv,colectiv
Kollektivismus,colectivisme
Kollektivist,colectivist
Sammler,colector
Kollegin,colega
kollegial,colegial
Kollege,colego
"zornig sein, wütend sein",colerar
Zorn,colere
wütend,coleric
zornig,colerosi
Kolik,colica
zusammenstoßen,colider
pflücken,colier
Halskette,coliere
Hügel,coline
Zusammenstoß,colision
leimen,collar
Leim,colle
platzieren,colocar
Platzieren,colocation
Doppelpunkt,cólon
Oberst,colonel
Kolonie,colonia
kolonial,colonial
kolonisieren,colonisar
Säule,colonne
Farbe,color
färben,colorar
Färbung,coloration
Koloss,colosse
"Schlag, Stoß, Streich",colpe
"Putsch, Staatsstreich",colpe de state
hausieren,colportar
Hausierer,colportero
Taube,columbe
Kolumbien,Columbia
kolumbianisch,columbian
Taubenschlag,columbiera
Spalte,columne
(heimliches) Einverständnis,colusion
Raps,colza
Koma (Bewusstlosigkeit),coma
Gebot,comandament
befehlen,comandar
"Befehl, Kommando",comande
Teilhabergesellschaft,comandite
"Kampf, Gefecht",combatte
kämpfen,combatter
"verbinden, kombinieren, zusammensetzen",combinar
Kombination,combination
verbrennen,combuster
brennbar,combustibil
Verbrennung,combustion
Komödie,comedie
"erinnern, gedenken, wieder ins Gedächtnis rufen",comemorar
Gedenken,comemoration
bestellen,comendar
"Auftrag, Bestellung",comende
beginnen,comensar
kommentieren,comentar
Kommentar,comentarie
Kommentator,comentator
"Beginn, Anfang",comense
"Handels-, kommerziell",comercial
"Kaufmann, Händler",comerciante
handeln,comerciar
Handel,comercie
Esswaren,comestibles
Komet,comete
"begehen, ausführen",cometter
"bequem, komfortabel",comfortabil
"1. Comic, 2. komisch",comic
Komiker,comico
bemitleiden,comiserar
"beauftragen, aufgeben, anvertrauen",comisser
Kommission,comission
Beauftragter,comissionario
Kommissar,comissario
Komma,comma
Patin,commatre
bequem,comod
Bequemlichkeit,comoditá
Kommode,comode
erschüttern,comoer
Erschütterung,comotion
"fest, dich, zusammengedrängt",compact
"CD, Compactdisc",compact disco
"Geselle, Freund, Kumpel",compane
"Gesellschaft, Begleitung, Kompanie",companie
Geschäftspartner,companion
vergleichen,comparar
Vergleich,comparation
"vergleichend, komparativ",comparativ
"Komparse, Nebenfigur",comparse
Abteil,compartiment
Zirkel,compasse
"Mitleid, Beileid",compassion
bemitleiden,compatir
vereinbar,compatibil
"Vereinbarkeit, Kompabilität",compatibilitá
"Pate, Gevatter",compatre
Landsmann,compatriot
"ausgleichen, ersetzen, vergüten",compensar
"kompetent, zuständig",competent
Kompetenz,competentie
wetteifern,competir
Wettbewerb,competition
Wettbewerber,competitor
"zusammenstellen, kompilieren",compilar
ergänzen,compleer
Ergänzung,complement
ergänzend,complementari
"willfahren, gefällig sein",compleser
vollständig,complet
vervollständigen,completar
"komplex, verwickelt, vielschichtig",complex
Komplexität,complexitá
"komplizieren, verwickeln, schwierig machen",complicar
Komplikation,complication
"Komplice, Helfershelfer, Mitschuldiger",complice
Mitschuld,complicitá
Kompliment,compliment
ein Kompliment machen,complimentar
Verschwörung,complot
"eine Verschwörung planen, sich verschwören",complotar
"zusammensetzen, komponieren",composir
Flaschenzug,composit tacle
"Komposition, Zusammenstellung",composition
Komponist,compositor
setzen (Druck),composter
"Kauf, Einkauf",compra
die Einkäufe,li compras
kaufen,comprar
Käufer,comprator
verstehen,comprender
verständlich,comprensibil
Verständnis,comprension
zusammendrücken,compresse
Kompressor,compressor
"bloßstellen, kompromittieren",comprometter
"Ausgleich, Kompromiss",compromiss
einen Kompromiss eingehen,compromisser
Computer,computator
Maus,computator-mus
Gräfin,comtessa
Grafschaft,comtia
Graf,comto
gemeinsam,comun
"mitteilen, verbinden, kommunizieren",comunicar
Kommunikation,comunication
kommunikativ,comunicativ
"Kommunion, Abendmahl",comunion
Gemeinschaft,comunitá
Kommunismus,comunisme
Kommunist,comunist
"einschalten, umschalten, vertauschen, verändern",comutar
mit,con
"hohl, gewölbt",concav
zugestehen,conceder
konzentrieren,concentrar
Konzentration,concentration
"begreifen, fassen, empfangen",concepter
"Konzept, Plan",conception
betreffen,concerner
"betreffend, bezüglich",concernent
Konzert,concert
"Zugeständnis, Konzession",concession
Muschel,conche
"aussöhnen, ausgleichen",conciliar
"kurzgefasst, bündig",concisi
schlussfolgern,concluder
konkret,concret
konkretisieren,concretisar
Konkretisierung,concretisation
Schlussfolgerung,conculsion
"übereinstimmen, sich vertragen",concordar
einverstanden,yo concorda
"Eintracht, Übereinstimmung",concordie
"Konkubine, Geliebte",concubina
Konkubinat,concubinatu
"Fahrer, Führer, Schaffner",conductor
"konkurrieren, mit bewerben",concurrer
Konkurrent,concurrente
Konkurrenz,concurrentie
"Wettkampf, Wettstreit",concurse
"verurteilen, verdammen",condamnar
Verurteilung,condamnation
"verdichten, zusammenfassen, kondensieren",condensar
Kondensation,condensation
"nachgeben, sich herablassen",condescender
Gewürz,condiment
Bedingung,condition
Bedingungs-,conditional
bedingen,conditionar
Beileid bekunden,condoler
Beileid,condolentie
Kondom,condom
Kondor,condor
"geleiten, lenken, führen",conducter
"Leitung, Führung",conduction
Führer,conductor
"Verhalten, Betragen",conduida
"sich verhalten, sich aufführen, betragen",conduir se
kegel,cone
kegelförmig,conic
"verbunden, verknüpft",conex
verbinden,conexer
Verbindung,conexion
verbünden,confederar
"Konföderation, Bund",confederation
konföderativ,confederativ
"zugeben, einräumen, beichten",confesser
