English,Occidental
back,"dorse, parte posteriori. at the ~ of: detra. to come ~: revenir, retornar. to ~pedal: retropedalar; v. (a horse) retroducter; (intr.) retropassuar; (sails) baccar; (support) suportar, subtener"
backbite,calumniar
backbone,spine dorsal
backgammon,trictrac
background,funde
backsheesh,bakchich
backside,cul
backslide,"rebeller, apostasiar. backslider: apostatico"
backstairs,detra-scaliere
to be backward|backward,* aprender desfacilmen
backwards,retro-. ~ and forwards: a ci e ta
backwater,aqua barrat
bacon,larde
bacteria,bacteries
bad,"mal, malin, maliciosi, putrid"
bad-tempered,malhumorat
badge,"signe, marca; (of rank) insigne"
badger,"taxon; v. molestar, tormentar"
badinage,"jocada, burleríe"
baffle,"confuser, impedir, frustrar. baffling: mocant, confusent"
bag,sac; (purse) borse; (lady's handbag) recitul; (valise) valise
bagatelle,bagatelle
baggage,bagage
baggy,"sacatri, sacformi"
bagpipe,cornamuse
bail,garante. to go ~ for: garantir; (sum of money) caution
bailiff,"economo, intendante; sheriff"
bairn,"infante, filie"
bait,lure; v. lurar; (annoy) provocar
baize,bayette
bake,"cocinar, panificar; (harden) indurar"
bakery,panería
balance,"(poise) equilibrie; (of scales) balancie; (comm.) bilancie, saldo; (remainder) reste; v. egalisar, equilibrar; (swing) balansar; (accounts) bilanciar"
balcony,balcon
bald,"nud, calvi"
baldhead,calvon
baldachin,baldachine
balderdash,"nonsense, galimatias"
bale,"n. pacca, balle; v. inballar; (a boat) eversar li aqua"
baleful,funest
balk,"obstructer, impedir; n. (timber) trave"
ball,globul; (firearms) bul (games) balle; (of foot) tenare; (of yarn) pelote; (dance) ball
ballad,"ballade, canzon"
ballast,ballast
ballet,ballette
balloon,ballon
ballot,"v. balotar (-ation, -ament)"
balm,balsam (-ic)
baluster,balustre (-ade)
bamboo,bambú
bamboozle,"dupar, fraudar"
ban,"v. bannir, proscrir (-ition), interdieter (-ion); n. bann"
banal,banal (-itá)
banana,banane
band,"bande; (mus.) capelle, orchestre; (of soldiers etc.) truppe, bande, gruppe; v. atruppar se, junter se"
bandage,bandage; v. bandagear
bandit,"bandite, brigante"
bandolier,bandoliere
band-box,chapel-buxe
bandy,"v. jettar a ci e ta, exchangear. ~legged: convex-gambat"
bane,"venen, ruine. ~ful: venenosi, desutil"
bang,"crac, detonation; (blow) colpe, batte. to ~ one about: mal tractar"
bangle,brasselette
banish,"bannir (-iment), proscrir, exiliar; (sorrow) forchassar"
banister,balustre (-ade)
banjo,banjó
bank,"(fin.) bank (-ero); (embankment) diga; (of earth) altage; (of river) rive; (slope) declive, scarpette; v. deposir in li bank, inbankar"
banknote,bank-billet
bankrupt,"a. bancrott; n. bancrotte, bankrupt ie"
banner,"baniere, standarte"
banquet,"banquette (-ar), festine"
bantam,bantam
banter,"persiflar, tirellar, jocar"
baptise,"baptisar. baptism: baptisa, baptisme (-al)"
bar,"(of wood, metal) barre, pal, lingot; (bolt) clud-bolte; (mus.) mesura; (publichouse) bar, bufete; (toll-) barriere; (law) corte, tribunale. he was educated for the ~: il ha studiat (li) jure; v. impedir, barrar; incombrar"
barb,croc
barbarian,"barbero (-ic, -ie, -isar)"
barber,"barbero, rasator"
barbican,"garda-turre, watch-turre, barbacan"
bard,bardo (-ic)
bare,"nud, simplic; (empty) vacui; (mean) mesquin, miserabil; v. nudar; decoltar"
barefaced,"ínpudent, audaci, arogant"
barefooted,"nudipedi, nudipedat"
bareheaded,nudicapat
barely,apen
bargain,"(agreement) arangeament, negocie; (cheap purchase) un modic compra: v. negociar, merc(ach)ar. into the ~: adplu"
barge,"barge (-ero), canal-bote"
baritone,bariton
barium,barium
bark,"(boat) barca, nave; (of dog) aboya; (tree) cortice; v. aboyar; (trees) decorticar"
barley,hordeo
barm,leven
barn,graniere
barnacle,(goose) barnacle; (crustacean) cirripede
barometer,barometre (-ic)
baron,baron (-essa)
baroque,baroc
barque,barca
barracks,"baracca, caserne"
barrage,barrage
barrel,baril; (tun) tonel; (of gun) fusiltube
barren,"steril (-itá), ínfertil, ínfecund; desert, ínhabitat"
barricade,barricade (-ar)
barrier,barriere
barrister,avocate
barrow,(mound) tumul; (wheel-) pussacarrette
barter,n. troc (-ar); exchangear
basalt,basalte
base,"base, funde; (pedestal) socle; a. bass, vil, abject"
basement,"etage subterran, cava"
bash,v. batter
bashful,"pudic, timid"
basic,"basic, fundamental, elementari"
basin,"cope, scudelle, vase; bassine; (wash-) lavuore"
basis,base
bask,v. insolar se; n. basco
basket,corbe (-ero)
bas-relief,bass-relief
bass,(fish) perche; (bast) bast; (mus.) basse; (singer) bassist
bassoon,basson
bast,"bast, fibre"
bastard,bastarde
baste,"versar grasse sur, arosear"
bastion,bastion
bat,(cricket) bat; (mammal) mus-volant
batch,"gruppe, serie; (bread) fornade"
bath,"balne; (vessel) balnuore. ~room: chambre balneari. baths: balnería, piscine"
bathe,balnear; inmerser
batman,servitor de oficero; soldate de ordonantie
batrachian,batracian
battalion,battallion
batten,n. latte; v. grassijar
batter,"v. batter, dismartellar; n. farin-pasta"
battering-ram,assalt-ramme
battery,batterie
battle,"battallie, combatte"
battlelments,"bastion, parapete, crenel"
battledore and shuttlecock|battledore|shuttlecock,rácket e volante
bauble,"auripelle, ludette, bagatelle"
baulk,n. trave
bawd,copulero. bawdy: lasciv
bawl,"clamar, criachar, crialliar"
bay,"bay, golfe; (tree) lauriero; (arch.) alcove; a. rubi-brun, rubatri, bai; v. aboyar, beyar"
bayonet,bayonette
bazaar,bazar
be,"v. esser, exister; (of health) standar"
beach,"plage, borde; v. strandar"
beacon,"fares turre lucent; (on a hill) fanale; (at sea) boye, signal-marca, mar-signe"
bead,"perle, globette"
beadle,pedello; servitor de tribunale; (church) intendante
beagle,chass-cane
beak,bec
beaker,"cope; (goblet) calice, bocale"
beam,radie; (wood) trave; (of scales) brasse; v. radiar
bean,faseol; (broad-) fabe
bear 1.|bear,(animal) urso (-a)
bear 2.|bear,"(carry) portar; (give birth to) parturir, dar nascentie a; (endure) suffrer, tolerar, suportar; (fruit) portar. to ~ to windward: luvear; to ~ witness: atestar"
beard,barbe. bearded: barbat
bearing,"statura, postura; (mech.) suporte"
bearings,(heraldry) insigne. to take ~: orientar se
beast,"bestie, animale; (pejor.) brute. ~ of prey: bestie predatori"
beastly,"bestial, repugnant, abominabil"
beat,"v. batter, bastonar, frappar; (of pulse) pulsar; (surpass) superar; (conquer) victer; (eggs) quirlar; (heart) palpitar; (~ the airj frappar in vacuitá."
beaten track|beaten|track,"trantran; n. batte, grappa; (mus.) tacte"
beatific,beatific
beatitude,beatitá. beatitudes: ~
beau,"dandy, eleganto, amanto; cortesan"
beautiful,"bell (a-ar, -itá)"
beaver,castor; (helmet) visiere
becalm,calmar. to be becalmed: esser haltat de calme
because,"pro que. ~ of: caus, pro"
beck,riverette; (nod) signe
become,"devenir; (beseem) decer, convener"
bed,"lette; (hort.) bed; (a layer) strate; v. plantar, inbedar. to go to ~: inlettar"
bedaub,"pictachar, sordidar"
bedeck,"ornar, decorar"
bedizen,"ornachar, pomponar se"
bedlam,"hospitale de alienates; tumultu, pandemonie"
bedouin,"beduin (-a, -o)"
bedraggle,insordidar
bedroom,"lett-chambre, dormitoria"
bedstead,"lette-frame, lettiere"
bee,ape (-iere). hdmble ~: burdon. bee-keeping: apicultura
beech,fago
beef,"carne bovin, bovine. -steak: bifstec"
beer,bir
beeswax,cire apin
beetle,scarabe; (cockroach) blatte
beetroot,bet-rap
befall,"evenir, accider"
befit,"convener, decer"
befog,invelopar in nebul; confuser
before,"(place) avan- (time or place) ante; (already) ja; (in the presence of) córam; (previously) antey; (conj.) ante que. ~ he came: ante que il arivat. ~hand: in ante, in avanse, antecipatmen"
befoul,"sordidar, macular"
befriend,"protecter, patronisar"
beg,"(alms) mendicar; (request) petir, suplicar, implorar"
beget,"geniter, procrear, generar"
beggar,mendico; v. apovrar. to ~ all description: superar omni descrition
beggarly,miserabil
begin,"comensar, iniciar. beginning: comense"
begone,"for!, via!"
begonia,begonie
begrime,"(in)sordidar, nigrar"
begrudge,invidiar
beguile,"(time) passar, acurtar; (delude) decepter, dupar"
behalf,"profite, avantage. on ~ of: in nómine de, por"
behave,conduir se
behaviour,conduida
behead,decapitar (-ation)
behest,"ordon, decrete, comanda"
behind,"(prep.) detra; (adv.) in detra. to leave ~: poslassar, lassar detra. to lock ~: regardar circum se; n. cul, posteriore"
behold,"vider, spectar, regardar. behold!: vi!"
behove,convener
being,"(creature) ente, creatura; natura, essentie. in ~: existent"
belabour,bastonar
belated,retardat
belaud,"laudar, glorificar"
belay,"securar, amarrar"
belch,"ructar. to ~ out: expulser, erupter, exsputar beldame: sorciarda"
beleaguer,assediar
belfry,"cloch-turre, clochiere"
belie,"refutar, dementir"
belief,crede(ntie); conviction
believe,creder; (opine) opiner. to make ~: ficter
belittle,depreciar
bell,cloche; (hand -) tintinette; (of flower) cálice. bell-clapper: battente. door ~: sonette
belle,bella
bellicose,"guerraci, puniaci, combattaci"
bellied,"corpulent, ventrut"
belligerent,"a. guerreant, hostil; n. guerreante"
bellow,muir (-ida)
bellows,"sufflette, suffluore"
belly,"ventre, abdómine"
belong,apartener
belongings,"possedage, proprieté"
beloved,"car, amat, carissim; n. cara, caro"
below,"(prep.) sub; (adv.) infra, in infra. here ~: ci bass"
belt,cintura
belvedere,belvedere
bemoan,"deplorar, regretar, lamentar"
bench,banca; (leg) tribunale; (carp.) rabotuore
bend,"v. flexer; inclinar. to ~ a sail: ligar un segle al yarde; n. curve, node"
beneath,(prep. sub. adv.) (in)infra; (unworthy of) indigni de
benediction,benedition
benefaction,"beneficie, bon action"
benefactor,benefator
beneficent,"benificent (-ie), charitativ"
beneficial,"util, salubri"
benefit,"beneficie, avantage, profite; v. avantagear"
benevolent,benvolent (-ie)
benign|benignant,"benigni, clement, afabil"
bent,a. curvat; n. inclination
bent-grass,agrostide
benumb,"far ínsensibil, stupefar, congelar; (med.) narcotisar"
benzin,benzine
bequeath,"legar, testar (-ator)"
bequest,"legate, testate"
bereave,"privar, rapter"
beret,berete
berry,bere
berth,"lette; (dock) dock; (employment) piazza, oficie"
beryl,berille
beseech,"implorar, suplicar"
beseem,"decer, convener"
beset,"circumdar, persecuter; (siege) assediar"
beside,"(prep.) apu, proxim; except, exter"
besides,"(adv.) ultra to, in ultra, adplu. ~ french he also speaks spanish: ultra francesi il parla anc hispan"
besiege,"assediar, circumpresser"
besmear,"sordidar, macular"
besom,balaye
besotted,bestialisat
bespatter,surspruzzar
bespeak,comendar (in ante)
besprinkle,"asperser, surspruzzar"
best,"a. optim, max bon, bonissim; v. superar, victer"
bestial,"bestial (-itá), brutal"
bestir oneself|bestir,"mo(v)er se, activentar se"
bestow,"(dis)donar, dar; (apply) usar"
bestrew,disjettar sur
bestride,surseder con gambes furcat
bet,n. pari (-ar)
betake oneself to|betake,ear a
bethink,pripensar; (call to mind) rememorar
betide,evenir. woe ~ him!: ve a il!
betimes,"tost, in bon témpor"
betoken,"signar, indicar; (mean) significar"
betray,"trahir; (show) monstrar, revelar; (seduce) seducter"
betroth,sponder
better,"melior, plu bon; (health) plu san; v. ameliorar"
between,ínter. ~decks: interponte
bevel,"bisel, plan inclinat, borde obliqui; v. biselar (-at)"
beverage,trincage
bevy,"truppe, banda; turbe"
bewail,"deplorar, lamentar"
beware,gardar se (contra)
bewilder,"confuser, inbrolliar"
bewitch,"insorciar, fascinar"
beyond,ultra; trans; (past) préter
bi-,"bi-annual, -furcat, -lateral etc."
bias,"inclination, partialitá, tendentie, predilection. biassed against: prejudiciat contra. free from ~: ínpartial"
bib,bavette
bible,bible (-ic)
biblio-,"biblio-grafie, -maniac"
biceps,biceps
bicker,querellar
bicycle,bicicle
bid,"v. comandar, ordonar; (invite) invitar; desirar; (auction) ofertar; proposir"
bide,atender; (re)maner
bier,portuore
bifurcate,bifurcar (-ation)
big,"grand, gross, imensi, vast"
bigamy,bigamie (-ist)
bight,golfe; (of rope) baya
bigot,bigott (-eríe)
bilberry,mirtille
bile,"bilie (-ari, -osi)"
bilge,ventre (de baril); (naut.) bilge
bilk,fraudar; evader
bill,"(account) conto, factura; (beak) bee; (parl.) lege-projecte; (poster) afiche. ~ of credit: credit-lettre. ~ of exchange: tratte, lettre de cambio. ~ of fare: menú"
billet,"(office) oficie; (lodging) logiment, quartere"
billiards,billiarde. ~ cue: baston. ~ ball: billiard-bul
billion,~
billow,n. unde; v. undear
bin,"buxe, chest"
bind,"ligar, bandar; incadernar; (compel) obligar. to ~ up: bandagear"
binnacle,"bussoliere, compassiere"
bio-,"bio-grafie, -logie, -plasma"
birch,(tree) betul; v. vergar
bird,"avie. ~cage: aviere. ~lime: avie-colla, ~ of prey: avie predatori. ~ of passage: avie passatori"
birth,"nascentie. ~day: aniversarie. to give ~ to: dar nascentie a, parturir"
biscuit,~
bisect,"bisecter (-ion, -or)"
bishop,"epíscop (-al, -atu, -ia)"
bismuth,bismute
bison,~
bit,"pezze, fragment; (horses) morse; (for brace) fora-pezze"
bitch,cana
bite,morder; (sting) picar; (chew) machar; n. morsura
bitt,(naut.) ~
bitter,"amari, acerb, acri"
bittern,butor
bitumen,bitúmine (-osi)
bivouac,bivac (-ar)
bizarre,"bizarri (-eríe), grotesc"
blab,babillar; revelar
black,a. nigri; v. (boots) cirar
blackamoor,negro
black-beetle,blatte
blackberry,"brambere, rúbus"
blackbird,merle
black-currant,"nigri crusbere, cassis (-iero)"
blacken,(de)nigrar
black-fly,afise
blackguard,"fripon, rascale, malard, laceron"
blackhead,cometon
blacking,cire
blacklead,grafite; (pencil) crayon
black-leg,renegate
blackmail,chantage (-ear)
blackpudding,sangue-salsice
blacksmith,"ferre-forjero, huf-forjero"
blackthorn,prunelle (-iero)
bladder,vessic; (skin) pustul
blade,(bot.) folie; (knife) lame
blame,blama; v. blamar (-abil). blameless: ínreprochabil
blanch,paller; (tr.) pallidar
blancmange,"lacte-gelé, blamange"
bland,"suavi, mild"
blandishment,flattada
blank,"a. blanc, nud, nett; (paper) blanc, inusat. ~cartridge: cartuche ciec. ~ verse: verse sin rimes. his memory has become a ~: il ha totmen perdit su memorie"
blanket,"lett-covritura, lanin covriment (de lette)"
blare,"muir; (of trumpet) sonar, trumpetar"
blase,blasat
blaspheme,"blasfemar (-ation), maledir blast: (wind) burasca, vent-colpe, ventepussa; explosion; (blight) peste); (trumpet) sonada- v. ruinar, far exploder, fracassar; (injure) nocer"
blast-furnace,fond-forne
blatant,"bruient, belant"
blaze,"v. flammear; (light) lucer, brilliar; n. brase"
blazer,flanell-jaque
blazon,"blason, emblema, insigne. blazonry: heraldica, arte de blason"
bleach,"devenir pallid; v. a. pallidar, ablancar"
bleak,"desert, frigid; trist"
blear-eyed,"con nebulat ocules, con humid ocules"
bleat,"v. belar, blecar"
bleed,sanguar (-ation)
blemish,"macul, defecte; v. defigurar, macular"
blend,v. mixter (-ura)
bless,"benedir (-ition). blessed: beat, felici"
blight,(plants) peste; degeneration; v. frustrar; (wither; far marcir
blind,"a. ciec. ~ alley: ciec-via, sac-strade; n. persiane, rul-cortine; pretexte; v. aciecar; dazlar"
blink,"v. palpebrar, oculettar; n. palpebrada; (naut.) blinc"
blinkers,"para-ocul, garda-ocul"
bliss,"beatitá, delicie"
blister,"vesicul (-ari); v. tumer, tumescer; v. a. tumefar"
blithe,"gay, alegri"
blizzard,"nive-storm, blizzard"
bloated,"inflat, tumid"
bloater,fumicat harengo
blob,bul(ette). globul
block,"bloc (-ar), trunc"
blockade,blocada
blockhead,"stulton, ínepton"
blond|blonde,blond(a)
blood,"sangue; (lineage) rasse, devenientie. ~thirsty: sangue-avid, feroci. ~ vessel: vene"
blood-hound,cane flaratori
bloody,"sanguin, sanguinari"
bloom,"n. flor; (on fruit) pruine; (freshness) friscore; v. florear, florescer; prosperar"
blossom,n. flor; v. florescer
blot,"n. macul (-ar); v. (letter) siccar. to ~ out: extinter, efaciar, destructer"
blotting-paper,papere siccativ
blouse,bluse
blow,"n. colpe, batte, sucusse; (of wind) soffle. ~ pipe: suffla-tube; v. sufflar; (gasp) anhelar. to ~ over: passar, preterear. to ~ up: exploder. to ~ one's nose: sufflar se li nase"
blubber,balen-grasse; v. plorachar
bludgeon,clobbe: v. bastonar
blue,"blu (-atri), azur"
bluebottle,carne-mosca
bluff,"a. grossieri, rud, franc; abrupt; n. cliff; (bluffing) bluff; v. decepter, dupar, bluffar"
blunder,"erra, defecte, fals passu; v. errar; ear inhabilmen; (stumble) mispassuar"
blunt,"obtusi, desacut; abrupt; v. blasar"
blur,v. nebular
blurt out|blurt,"parlar íncautmen, revelar"
blush,"v. rubijar. to put to the ~: ahontar, far hontar"
bluster,"v. tumultuar, bruir; bru-parlar, fanfaronar"
boa,~
boar,"apro, svin savagi"
board,"planca; (naut.) bord;(bookbinding) carton; (blackboard) tabul; (food) nutritura, pension; (governing body) direction, comité, comission; v. (a ship) abordar; (put up) albergar"
boarder,pensionario
boarding-house,pension
boast,v. fanfaronar (-ada); glorificar
boat,"bote, chalupe. plat-bottomed ~: pram. to be in the same ~: navigar in li sam bote"
boatswain,"mastro, submastro"
bob,v. saltettar
bobbin,"bobine, spul"
bode,augurar; ominar
bodice,corsage
bodkin,"lace-agullie, agullion, pistel"
body,"córpor; (corpse) cadavre; (person) individue, person; (substance) substantie; (heavenly -) astre. in a ~: junt"
bog,"palude, morasse"
bogey,"fantomache, cobold"
boggle,"hesitar, haver scrupules"
bogie,~
bogus,"fals, fictiv, pretextat"
boil,"n. furuncul, tumore; v. bollir; v. a. bollientar, cocinar. to ~ over: sputar in (li) foy"
